# gunzip -c exp/chain/tdnn_7b/decode_dev_eval_asr/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/chain/tdnn_7b/graph 
# Started at Wed Sep  2 09:29:13 IST 2020
#
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (126,126.0,126) frames.
Overall, ah_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.7,6) frames.
Overall, l_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.7,3) frames.
Overall, sh_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.6,3) frames.
Overall, ae_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,3.2,6) frames.
Overall, ao_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.7,5) frames.
Overall, hh_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.3,3) frames.
Overall, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.1,3) frames.
Overall, r_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,4) frames.
Overall, y_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,2.6,4) frames.
Overall, d_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (2,1.9,3) frames.
Overall, ey_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.4,3) frames.
Overall, f_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,4) frames.
Overall, n_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.5,3) frames.
Overall, jh_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.1,4) frames.
Overall, k_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.0,3) frames.
Overall, d_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (1,1.6,2) frames.
Overall, l_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,3.1,5) frames.
Overall, uw_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (2,2.2,3) frames.
The optional-silence phone sil occupies 60.7% of frames overall 
Limiting the stats to the 97.1% of frames not covered by an utterance-[begin/end] phone, optional-silence sil occupies 59.5% of frames.
Assuming 100 frames per second, the alignments represent 0.0 hours of data, or 0.0 hours if sil frames are excluded.
Utterance-internal optional-silences sil comprise 10.3% of utterance-internal phones, with duration (median, mean, 95-percentile) = (13,33.0,130)
# Accounting: time=0 threads=1
# Ended (code 0) at Wed Sep  2 09:29:13 IST 2020, elapsed time 0 seconds
